D2019-05-08T03:38:22.907	SystemHardware Concurrency : 8
D2019-05-08T03:38:22.911	System* create thread : id[0x7ACC] name[Server], pool size[1]
D2019-05-08T03:38:22.912	Server* create thread : id[0x5910] name[ContentsProcess], pool size[2]
D2019-05-08T03:38:22.912	Server* create thread : id[0x7228] name[ContentsProcess], pool size[3]
D2019-05-08T03:38:22.913	Server* create thread : id[0x63E8] name[ContentsProcess], pool size[4]
D2019-05-08T03:38:22.913	Server* create thread : id[0x4CFC] name[ContentsProcess], pool size[5]
D2019-05-08T03:38:22.913	Server* create thread : id[0x5558] name[ContentsProcess], pool size[6]
D2019-05-08T03:38:22.914	Server# Initialze network base
D2019-05-08T03:38:22.915	Server* create thread : id[0x5560] name[Terminal], pool size[7]
D2019-05-08T03:38:22.916	Server* create thread : id[0xFC8] name[Terminal], pool size[8]
D2019-05-08T03:38:22.916	Server### Terminal set ###
D2019-05-08T03:38:22.917	Server* create thread : id[0x80E8] name[Task], pool size[9]
D2019-05-08T03:38:22.917	Server* create thread : id[0x845C] name[Task], pool size[10]
D2019-05-08T03:38:22.917	Server* create thread : id[0x96C0] name[Task], pool size[11]
D2019-05-08T03:38:22.917	Server* create thread : id[0x6E28] name[Task], pool size[12]
D2019-05-08T03:38:22.918	Server* create thread : id[0xE60] name[Task], pool size[13]
D2019-05-08T03:38:22.918	Server* task thread, [5] maked
D2019-05-08T03:38:22.918	Server* IO worker thread count : 5
D2019-05-08T03:38:22.918	Server### LoginServer start!!! ###
D2019-05-08T03:38:22.967	Server* server listen socket created, ip: 223.194.100.66, port: 9000
D2019-05-08T03:38:22.967	Server* create thread : id[0x8E60] name[IOCPServer], pool size[14]
D2019-05-08T03:38:22.967	Server* create thread : id[0x4E6C] name[IOCPServer], pool size[15]
D2019-05-08T03:38:22.967	Server* create thread : id[0x6830] name[IOCPServer], pool size[16]
D2019-05-08T03:38:22.968	Server* create thread : id[0x229C] name[IOCPServer], pool size[17]
D2019-05-08T03:38:22.968	Server* create thread : id[0x640C] name[IOCPServer], pool size[18]
D2019-05-08T03:38:22.968	Server* create thread : id[0x776C] name[IOCPServer], pool size[19]
D2019-05-08T03:38:22.038	IOCPServer* client accecpt from [223.194.100.66]
D2019-05-08T03:38:22.039	ContentsProcess*** [130] packet run ***
D2019-05-08T03:38:22.039	ContentsProcess* [223.194.100.66] Terminal accepted.
D2019-05-08T03:38:22.460	Terminal* [ChattingServer]terminal connect [223.194.100.66]:[9200] ready
D2019-05-08T03:38:23.965	Terminal! terminal socket connect fail
